timestamp_sec,type,traffic(MB)
1711662000,R,4.4453125
1711662000,W,0.0
1711662001,R,48.44140625
1711662001,W,0.0
1711662002,R,0.0
1711662002,W,0.0
1711662003,R,0.0
1711662003,W,0.0
1711662004,R,0.0
1711662004,W,0.0
1711662005,R,0.0390625
1711662005,W,0.0
1711662006,R,3.4921875
1711662006,W,0.0
1711662007,R,21.8212890625
1711662007,W,0.0078125
1711662008,R,76.33984375
1711662008,W,9.46142578125
1711662009,R,0.0390625
1711662009,W,0.0
1711662010,R,34.65625
1711662010,W,1.62890625
1711662011,R,54.32373046875
1711662011,W,33.55078125
1711662012,R,112.53515625
1711662012,W,42.9296875
1711662013,R,0.25390625
1711662013,W,106.6640625
1711662014,R,0.109375
1711662014,W,83.85546875
1711662015,R,1.08203125
1711662015,W,81.84375
1711662016,R,0.06640625
1711662016,W,81.83984375
1711662017,R,2.23046875
1711662017,W,83.17578125
1711662018,R,0.0
1711662018,W,108.7421875
1711662019,R,0.0
1711662019,W,82.21484375
1711662020,R,0.0
1711662020,W,83.4609375
1711662021,R,4.3984375
1711662021,W,92.3125
1711662022,R,0.94140625
1711662022,W,102.0078125
1711662023,R,0.26171875
1711662023,W,84.01171875
1711662024,R,0.30859375
1711662024,W,85.62890625
1711662025,R,0.01953125
1711662025,W,136.78515625
1711662026,R,0.0078125
1711662026,W,86.00390625
1711662027,R,9.296875
1711662027,W,238.66796875
1711662028,R,0.0
1711662028,W,421.578125
1711662029,R,0.0
1711662029,W,247.72265625
1711662030,R,3.26171875
1711662030,W,244.796875
1711662031,R,0.0
1711662031,W,247.703125
1711662032,R,0.0
1711662032,W,247.3203125
1711662033,R,0.00390625
1711662033,W,249.46484375
1711662034,R,0.0234375
1711662034,W,247.078125
1711662035,R,0.0
1711662035,W,247.9140625
1711662036,R,1.65234375
1711662036,W,245.30078125
1711662037,R,20.12890625
1711662037,W,195.24609375
1711662038,R,10.80078125
1711662038,W,271.578125
1711662039,R,0.1171875
1711662039,W,243.59765625
1711662040,R,3.03125
1711662040,W,204.98828125
1711662041,R,0.14453125
1711662041,W,291.64453125
1711662042,R,0.01171875
1711662042,W,247.7421875
1711662043,R,0.0
1711662043,W,248.16796875
1711662044,R,0.0
1711662044,W,247.92578125
1711662045,R,0.00390625
1711662045,W,248.00390625
1711662046,R,0.0
1711662046,W,248.17578125
1711662047,R,0.0
1711662047,W,248.0703125
1711662048,R,0.00390625
1711662048,W,247.546875
1711662049,R,0.0
1711662049,W,248.4375
1711662050,R,0.0
1711662050,W,248.171875
1711662051,R,1.27734375
1711662051,W,246.359375
1711662052,R,0.0078125
1711662052,W,248.08203125
1711662053,R,0.234375
1711662053,W,248.09375
1711662054,R,0.0
1711662054,W,247.75
1711662055,R,0.00390625
1711662055,W,247.765625
1711662056,R,0.16796875
1711662056,W,247.765625
1711662057,R,0.0
1711662057,W,248.04296875
1711662058,R,0.0
1711662058,W,248.828125
1711662059,R,0.0
1711662059,W,247.15625
1711662060,R,0.0
1711662060,W,247.984375
1711662061,R,0.0
1711662061,W,247.95703125
1711662062,R,0.0
1711662062,W,248.40625
1711662063,R,0.109375
1711662063,W,247.6328125
1711662064,R,0.07421875
1711662064,W,248.08984375
1711662065,R,0.01171875
1711662065,W,115.5078125
1711662066,R,0.69140625
1711662066,W,84.99609375
1711662067,R,0.0625
1711662067,W,83.8359375
1711662068,R,0.0
1711662068,W,154.04296875
1711662069,R,0.0
1711662069,W,94.9765625
1711662070,R,0.0
1711662070,W,81.83984375
1711662071,R,0.0
1711662071,W,79.85546875
1711662072,R,0.0
1711662072,W,411.953125
1711662073,R,0.0
1711662073,W,81.84375
1711662074,R,0.0
1711662074,W,81.83984375
1711662075,R,0.48828125
1711662075,W,80.84765625
1711662076,R,7.81640625
1711662076,W,82.8359375
1711662077,R,2.62890625
1711662077,W,97.56640625
1711662078,R,0.03515625
1711662078,W,83.25390625
1711662079,R,0.02734375
1711662079,W,84.328125
1711662080,R,0.0
1711662080,W,83.8359375
1711662081,R,0.0
1711662081,W,81.875
1711662082,R,0.91796875
1711662082,W,307.859375
1711662083,R,0.23828125
1711662083,W,127.921875
1711662084,R,0.11328125
1711662084,W,131.14453125
1711662085,R,0.36328125
1711662085,W,76.265625
1711662086,R,0.109375
1711662086,W,48.11328125
1711662087,R,0.16015625
1711662087,W,51.23046875
1711662088,R,0.00390625
1711662088,W,53.5703125
1711662089,R,0.00390625
1711662089,W,37.90625
1711662090,R,0.0078125
1711662090,W,33.70703125
1711662091,R,0.0078125
1711662091,W,47.4453125
1711662092,R,0.0
1711662092,W,43.09375
1711662093,R,0.00390625
1711662093,W,40.8984375
1711662094,R,0.0
1711662094,W,28.23046875
1711662095,R,0.0
1711662095,W,47.43359375
1711662096,R,0.01171875
1711662096,W,152.05078125
1711662097,R,0.015625
1711662097,W,114.84375
1711662098,R,0.32421875
1711662098,W,3.88671875
1711662099,R,0.00390625
1711662099,W,17.8359375
1711662100,R,0.01953125
1711662100,W,7.11328125
1711662101,R,0.00390625
1711662101,W,31.1640625
1711662102,R,0.0
1711662102,W,23.171875
1711662103,R,0.0546875
1711662103,W,43.12109375
1711662104,R,0.11328125
1711662104,W,48.3359375
1711662105,R,0.02734375
1711662105,W,47.10546875
1711662106,R,1.09375
1711662106,W,8.98046875
1711662107,R,0.00390625
1711662107,W,14.94140625
1711662108,R,0.0859375
1711662108,W,0.03125
1711662109,R,0.0
1711662109,W,0.00390625
1711662110,R,0.0
1711662110,W,0.0
1711662111,R,0.0
1711662111,W,0.03125
1711662112,R,0.0
1711662112,W,0.6953125
1711662113,R,0.0
1711662113,W,0.01171875
1711662114,R,0.0
1711662114,W,0.0
1711662115,R,0.0
1711662115,W,0.00390625
1711662116,R,0.0
1711662116,W,4.1455078125
1711662117,R,0.0
1711662117,W,0.13671875
1711662118,R,0.0
1711662118,W,0.00390625
1711662119,R,0.0
1711662119,W,0.0
1711662120,R,0.0
1711662120,W,0.0
1711662121,R,0.0
1711662121,W,15.0234375
1711662122,R,0.0
1711662122,W,0.0
1711662123,R,0.0
1711662123,W,0.33984375
1711662124,R,0.0
1711662124,W,0.0
1711662125,R,0.0
1711662125,W,0.00390625
1711662126,R,0.0
1711662126,W,53.984375
1711662127,R,0.0
1711662127,W,0.00390625
1711662128,R,0.0
1711662128,W,0.93359375
1711662129,R,0.0
1711662129,W,0.00390625
1711662130,R,0.0
1711662130,W,0.0
1711662131,R,0.0
1711662131,W,105.6953125
1711662132,R,0.0
1711662132,W,16.984375
1711662133,R,0.0
1711662133,W,0.203125
1711662134,R,0.0
1711662134,W,0.00390625
1711662135,R,0.0
1711662135,W,0.00390625
1711662136,R,0.0
1711662136,W,0.40234375
1711662137,R,0.0
1711662137,W,22.359375
1711662138,R,0.0
1711662138,W,0.18359375
1711662139,R,0.0
1711662139,W,0.0
1711662140,R,0.0
1711662140,W,0.0
1711662141,R,0.0
1711662141,W,0.0390625
1711662142,R,0.0
1711662142,W,109.765625
1711662143,R,0.0
1711662143,W,0.00390625
1711662144,R,0.0
1711662144,W,5.46875
1711662145,R,0.0
1711662145,W,8.3515625
1711662146,R,0.0
1711662146,W,3.33984375
1711662147,R,0.0
1711662147,W,10.52880859375
1711662148,R,0.0
1711662148,W,13.515625
1711662149,R,0.0
1711662149,W,13.00390625
1711662150,R,0.0
1711662150,W,54.15234375
1711662151,R,0.0
1711662151,W,40.47265625
1711662152,R,0.0546875
1711662152,W,161.0
1711662153,R,0.0390625
1711662153,W,242.41796875
1711662154,R,0.05859375
1711662154,W,195.18359375
1711662155,R,0.203125
1711662155,W,437.0546875
1711662156,R,0.046875
1711662156,W,248.58984375
1711662157,R,0.01953125
1711662157,W,247.625
1711662158,R,0.03125
1711662158,W,248.15625
1711662159,R,0.0390625
1711662159,W,248.3203125
1711662160,R,0.07421875
1711662160,W,247.3046875
1711662161,R,0.01953125
1711662161,W,248.0390625
1711662162,R,0.05078125
1711662162,W,248.1484375
1711662163,R,0.0
1711662163,W,247.76953125
1711662164,R,0.0
1711662164,W,248.4453125
1711662165,R,0.0
1711662165,W,248.34765625
1711662166,R,0.0
1711662166,W,247.71484375
1711662167,R,0.0
1711662167,W,247.3125
1711662168,R,0.0
1711662168,W,248.32421875
1711662169,R,0.0
1711662169,W,247.81640625
1711662170,R,0.00390625
1711662170,W,248.046875
1711662171,R,0.01953125
1711662171,W,247.8359375
1711662172,R,0.0
1711662172,W,248.3203125
1711662173,R,0.0
1711662173,W,249.0859375
1711662174,R,0.0
1711662174,W,247.328125
1711662175,R,0.0
1711662175,W,248.2109375
1711662176,R,0.0
1711662176,W,247.8671875
1711662177,R,0.0
1711662177,W,248.140625
1711662178,R,0.0
1711662178,W,248.20703125
1711662179,R,0.0
1711662179,W,247.1328125
1711662180,R,0.0
1711662180,W,248.40625
1711662181,R,0.0
1711662181,W,248.1484375
1711662182,R,0.05078125
1711662182,W,171.015625
1711662183,R,0.31640625
1711662183,W,156.80859375
1711662184,R,0.23828125
1711662184,W,415.484375
1711662185,R,0.03515625
1711662185,W,247.37890625
1711662186,R,0.01171875
1711662186,W,248.30078125
1711662187,R,0.01953125
1711662187,W,248.4453125
1711662188,R,0.01953125
1711662188,W,247.578125
1711662189,R,0.0078125
1711662189,W,248.2109375
1711662190,R,0.015625
1711662190,W,247.890625
1711662191,R,0.03515625
1711662191,W,248.8046875
1711662192,R,0.046875
1711662192,W,247.15234375
1711662193,R,0.0390625
1711662193,W,248.49609375
1711662194,R,0.0625
1711662194,W,247.40234375
1711662195,R,0.01953125
1711662195,W,247.828125
1711662196,R,0.01171875
1711662196,W,248.640625
1711662197,R,0.07421875
1711662197,W,248.0625
1711662198,R,0.0625
1711662198,W,246.703125
1711662199,R,0.0078125
1711662199,W,248.0234375
1711662200,R,0.01171875
1711662200,W,248.1015625
1711662201,R,0.0
1711662201,W,246.55859375
1711662202,R,0.0
1711662202,W,250.32421875
1711662203,R,0.0
1711662203,W,247.84375
1711662204,R,0.0
1711662204,W,247.66015625
1711662205,R,0.0
1711662205,W,247.75
1711662206,R,0.0
1711662206,W,248.359375
1711662207,R,0.0
1711662207,W,247.8125
1711662208,R,0.0
1711662208,W,248.125
1711662209,R,0.0
1711662209,W,248.01171875
1711662210,R,0.0
1711662210,W,247.78515625
1711662211,R,0.0
1711662211,W,248.13671875
1711662212,R,0.24609375
1711662212,W,232.8359375
1711662213,R,0.1484375
1711662213,W,259.43359375
1711662214,R,0.03125
1711662214,W,250.0390625
1711662215,R,0.04296875
1711662215,W,249.01171875
1711662216,R,0.265625
1711662216,W,247.96875
1711662217,R,0.07421875
1711662217,W,248.28125
1711662218,R,1.08984375
1711662218,W,247.26171875
1711662219,R,0.03125
1711662219,W,248.0625
1711662220,R,0.05859375
1711662220,W,247.70703125
1711662221,R,0.12890625
1711662221,W,248.03515625
1711662222,R,0.0234375
1711662222,W,246.84375
1711662223,R,0.546875
1711662223,W,247.78125
1711662224,R,8.1640625
1711662224,W,240.72265625
1711662225,R,0.0859375
1711662225,W,247.3203125
1711662226,R,0.0
1711662226,W,247.09375
1711662227,R,0.0
1711662227,W,248.765625
1711662228,R,0.0
1711662228,W,247.1953125
1711662229,R,0.0234375
1711662229,W,248.91015625
1711662230,R,0.21484375
1711662230,W,245.61328125
1711662231,R,0.046875
1711662231,W,248.8671875
1711662232,R,0.0546875
1711662232,W,248.7578125
1711662233,R,0.0
1711662233,W,247.078125
1711662234,R,0.015625
1711662234,W,249.359375
1711662235,R,0.0
1711662235,W,247.8828125
1711662236,R,0.00390625
1711662236,W,247.6171875
1711662237,R,2.75
1711662237,W,245.30859375
1711662238,R,0.0
1711662238,W,248.87109375
1711662239,R,0.00390625
1711662239,W,247.64453125
1711662240,R,0.0
1711662240,W,248.06640625
1711662241,R,0.0
1711662241,W,248.03125
1711662242,R,0.0
1711662242,W,247.421875
1711662243,R,0.0
1711662243,W,248.64453125
1711662244,R,1.9765625
1711662244,W,244.30859375
1711662245,R,0.5859375
1711662245,W,249.125
1711662246,R,1.6640625
1711662246,W,246.515625
1711662247,R,0.37890625
1711662247,W,247.5703125
1711662248,R,14.6015625
1711662248,W,233.6015625
1711662249,R,0.0078125
1711662249,W,247.80078125
1711662250,R,0.01171875
1711662250,W,246.578125
1711662251,R,0.0
1711662251,W,249.1875
1711662252,R,0.1328125
1711662252,W,246.63671875
1711662253,R,0.0
1711662253,W,248.48828125
1711662254,R,0.0
1711662254,W,247.16015625
1711662255,R,0.0
1711662255,W,248.2109375
1711662256,R,0.0078125
1711662256,W,248.8984375
1711662257,R,0.0
1711662257,W,246.41015625
1711662258,R,0.0
1711662258,W,249.20703125
1711662259,R,0.0
1711662259,W,249.2109375
1711662260,R,6.06640625
1711662260,W,240.22265625
1711662261,R,0.18359375
1711662261,W,247.4921875
1711662262,R,0.453125
1711662262,W,248.34765625
1711662263,R,1.20703125
1711662263,W,247.06640625
1711662264,R,0.19921875
1711662264,W,236.24609375
1711662265,R,1.58203125
1711662265,W,259.21484375
1711662266,R,1.98828125
1711662266,W,243.32421875
1711662267,R,0.01171875
1711662267,W,250.0546875
1711662268,R,0.03515625
1711662268,W,246.6640625
1711662269,R,0.015625
1711662269,W,248.71875
1711662270,R,0.00390625
1711662270,W,248.2109375
1711662271,R,0.015625
1711662271,W,247.65234375
1711662272,R,0.0078125
1711662272,W,247.6796875
1711662273,R,2.98046875
1711662273,W,247.15625
1711662274,R,4.00390625
1711662274,W,242.2421875
1711662275,R,0.0
1711662275,W,248.91015625
1711662276,R,0.0
1711662276,W,247.9609375
1711662277,R,0.0
1711662277,W,247.98828125
1711662278,R,0.0
1711662278,W,247.87890625
1711662279,R,0.0
1711662279,W,248.3828125
1711662280,R,0.015625
1711662280,W,247.3828125
1711662281,R,1.16796875
1711662281,W,246.94921875
1711662282,R,0.1875
1711662282,W,245.72265625
1711662283,R,0.02734375
1711662283,W,250.44140625
1711662284,R,11.37890625
1711662284,W,235.078125
1711662285,R,0.0
1711662285,W,248.0859375
1711662286,R,0.0
1711662286,W,247.40234375
1711662287,R,0.0
1711662287,W,248.12109375
1711662288,R,0.0078125
1711662288,W,247.8203125
1711662289,R,0.0
1711662289,W,248.0
1711662290,R,0.0
1711662290,W,248.25
1711662291,R,0.0
1711662291,W,247.58984375
1711662292,R,0.00390625
1711662292,W,248.0390625
1711662293,R,0.00390625
1711662293,W,249.46875
1711662294,R,0.0
1711662294,W,247.828125
1711662295,R,0.375
1711662295,W,247.6875
1711662296,R,0.0
1711662296,W,247.328125
1711662297,R,0.0
1711662297,W,248.91015625
1711662298,R,0.0
1711662298,W,248.265625
1711662299,R,0.0
1711662299,W,246.28125
1711662300,R,5.0
1711662300,W,243.5078125
1711662301,R,0.00390625
1711662301,W,248.6796875
1711662302,R,1.4921875
1711662302,W,245.15625
1711662303,R,0.0
1711662303,W,248.27734375
1711662304,R,0.0
1711662304,W,248.02734375
1711662305,R,0.00390625
1711662305,W,248.65234375
1711662306,R,0.00390625
1711662306,W,247.41796875
1711662307,R,0.0
1711662307,W,247.96484375
